"A","Psych Distress Girls 2002","Psych Distress Girls 2006","Psych Distress Girls 2010","Psych Distress Girls 2014","Psych Distress Girls 2018","STD_Psych Distress Girls 2018","GDP Per Capita 2002","GDP Per Capita 2006","GDP Per Capita 2010","GDP Per Capita 2014","GDP Per Capita 2018","LOG_GDP per Capita 2018","STD_GDP per capita 2018","Psych Distress Boys 2002","Psych Distress Boys 2006","Psych Distress Boys 2010","Psych Distress Boys 2014","Psych Distress Boys 2018","GINI 2006","GINI 2010","GINI 2014","GINI 2018","GINI 2002"
"Slovakia",,0.346349,0.306176,0.330733,0.350046,0.2821774990355814,16942,21784,25630,27416,31313,4.49572467799798,-0.635878920966561,,0.433771,0.487966,,0.459867,25.8,27.3,26.1,25.0,
"Russia",0.273155,0.299569,0.302982,0.292869,0.286169,-0.6395415113724844,16175,21757,23961,26057,26656,4.425794979726693,-0.8700395954744745,,0.280932,0.231971,0.22549,0.257496,41.0,39.5,39.9,37.5,
"Romania",,0.395077,0.354801,0.348697,0.373944,0.6270158745186494,13986,18325,20415,23091,28736,4.458426314987211,-0.7654541965102357,,0.257843,0.242376,0.19909,0.268777,39.6,35.5,36.0,35.8,
"Greece",0.453092,0.433716,0.372533,0.365554,0.441238,1.5980407987699508,31249,36519,33693,28129,29141,4.4645044509010345,-0.745090212577295,0.359675,0.395672,0.345455,0.312886,0.34664,35.1,34.1,35.8,32.9,
"Norway",0.23595,0.210334,0.252582,0.216053,0.215247,-1.6629169932542391,58850,63303,61672,62838,64696,4.810877430102559,1.0426664509676624,0.144254,0.141678,0.135135,0.10557,0.141878,26.4,25.7,26.8,27.6,
"Lithuania",0.360029,0.342461,0.313917,0.305406,0.31014,-0.293649775716587,16004,22978,23942,29855,35446,4.549567233145539,-0.42806572196694603,,,0.278253,0.225687,0.25504,34.4,33.6,37.7,35.7,
"Ukraine",0.405305,0.368298,0.347319,0.2597,0.400183,1.0056339234892842,8765,12259,12221,12385,12336,4.091174360706882,-1.5900698421898112,0.186966,0.195931,0.200826,0.162831,0.169364,29.8,24.8,24.0,26.1,"29.0"
"Spain",0.344127,0.268431,0.276394,0.256861,0.242001,-1.276867704708168,36336,38857,37318,35983,40276,4.605046332184747,-0.18520635802594912,0.241429,0.174551,0.18178,0.145111,0.117874,33.5,35.2,36.1,34.7,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
