"Country","Individualism","STD_Individualism","STD_Psych Distress Girl","STD_Pysch Distress Boys","STD_Suicide Change Girls","STD_Suicide Change Boys","STD_Religiosity","STD_Looseness","STD_Gender Equality","STD_Per Capita GDP 2018","STD_Changes in Per Capita GDP","STD_Indulgence","STD_Change In Social Media Use","Psych Distress Relative Change (Girls)","Psych Distress Relative Change (Boys)","Suicide Rate Change Girls","Suicide Rate Change Boys","Religiosity","Looseness","Looseness Domain General","Belief in God","Praying Daily","Going to services","Importance of Religion","Median Net Income 2022","Gender Equality Index","Change in Social Media Use","GDP Per Capita 2022","HBSC 2006 Girls","HBSC 2018 Girls","Girls Distress Abolute Increa","Indulgence","Uncertainty Avoidance","Masculinity","Power Distance","GDP Change","GINI Index 2018","Change in GINI Index","GDP Per Capita 2018","LOG_GDP per capita 2018","Psych Distress Girls 2002-2010","GDP per capita 2002-2010","Psych Distress Girls 2014-2018","Per Capita GDP 2014-2018","Psych Distress Boys 2002-2010","Psych Distress 2014-18 Boys","AW","AW (2)"
"Norway",69,0.6661345110860277,-1.387097269567061,-1.2495842814364118,-0.48105406676473617,0.5570279311785756,-0.3301424558272199,,,1.0426664509676624,-0.843755322446186,,-0.7257088035414827,-0.074,-0.118496655,0.068,0.213,0.17,,,0.19,0.18,0.16,0.19,39206.0,,0.0,114929,0.210334,0.215247,-0.02,,,,,0.04,27,0.04,64696,4.810877430102559,0.2329553333,61275,0.21565,63767,0.14,0.12,,
"Switzerland",68,0.6126492583710912,0.28111770863061075,0.010396517698152077,1.2004301371211696,-0.07491932708763485,-0.712125462569458,,,1.2907048034150617,-0.5443582725459265,,,0.24407,0.093120448,1.113,-0.001,0.12,,,0.11,0.08,0.29,0.09,45405.0,,,84649,0.242069,0.282414,0.05,,,,,0.09,33,0.0,69629,4.842790157955983,0.2237703333,62610,0.278386,68280,0.18,0.2,,
"Germany",67,0.5591640056561547,0.9111813221303575,0.9193399374863032,-0.4971448246966587,-0.2757249979385803,-0.712125462569458,0.7420504122287818,0.3721811598796963,0.47624600898105174,-0.18508181266561502,-0.174946120956454,-1.1227947526490865,0.364201,0.245779896,0.058,-0.069,0.12,82.9,74.5,0.1,0.09,0.24,0.11,25000.0,70.8,-0.05,63522,0.158937,0.208975,0.05,40,65,66,35,0.15,31,0.03,53431,4.727793302395854,0.1459296667,45365,0.1990775,52138,0.11,0.15,,
"Finland",63,0.3452229947964085,1.8257441127840472,1.4424783615310963,-0.8012601496099948,-0.6980075116398331,-0.6357288612210104,0.34437614315206894,0.8316640733114217,0.20558100771927404,-0.843755322446186,0.6884976373124968,-0.7257088035414827,0.538576,0.333642376,-0.131,-0.212,0.13,74.5,72.3,0.23,0.18,0.1,0.1,26541.0,74.4,0.0,59470,0.226667,0.331421,0.12,57,59,26,33,0.04,27,-0.03,48048,4.681675314854906,0.215408,44575,0.331421,46512,0.16,0.22,,
"Lithuania",60,0.18476723665159886,-1.4815037511829257,-1.4154560820282371,0.8818331300691034,-0.4588125213615011,-0.024556050433429667,-0.6072015721386361,-0.482967595673791,-0.42806572196694603,2.2699739965165135,-1.3939255443949727,0.2272974743167662,-0.092,-0.146355262,0.915,-0.131,0.21,54.4,54.6,,0.15,0.27,0.16,10195.0,64.1,0.12,48861,0.342461,0.31014,-0.03,16,65,19,42,0.56,37,0.08,35446,4.549567233145539,0.3388023333,20975,0.307773,32651,0.28,0.24,,
"Iceland",60,0.18476723665159886,0.24455093141806578,-0.22353985111019328,,,,-0.7586965317869073,,0.6464486895069885,-0.18508181266561502,,-0.7257088035414827,0.237098,0.053830217,,,,51.2,35.7,,,,,,,0.0,69615,0.243501,0.314244,0.06,,,,,0.15,28,-0.01,56816,4.75447065495754,0.239648,46632,0.296468,53633,0.16,0.18,,
"Estonia",60,0.18476723665159886,0.20629008234096952,0.2313430878037495,1.5158089925868514,1.9774327499918805,-1.0941084693116958,-0.5598593972485513,-0.9807407518914912,-0.45154715529209,0.7729887470152156,-1.3939255443949727,0.7832178030674114,0.229803,0.130229008,1.309,0.694,0.07,55.4,55.4,0.13,0.09,0.1,0.06,14827.0,60.2,0.19,46556,0.267176,0.375589,0.06,16,60,30,40,0.31,32,-0.01,34979,4.543807389456844,0.2713706667,25064,0.3337325,32737,0.19,0.21,,
"Luxembourg",60,0.18476723665159886,0.17969367854796664,1.5941501591708045,,,,2.209657833821411,0.8699543160973984,3.5299888144113964,-0.9036347324262379,0.6377068280025585,-0.7257088035414827,0.224732,0.359116055,,,,113.9,111.2,,,,,45310.0,74.7,0.0,140616,0.293021,0.336108,0.06,56,70,50,40,0.03,33,0.08,114164,5.057529176885622,0.2789225,110332,0.341605,113739,0.18,0.2,,
"Poland",60,0.18476723665159886,-0.11785457228710196,-0.22278221491503436,-0.6194345849792701,-1.285659401335982,1.4269793751870747,-1.15637080086362,-0.7637627094376219,-0.6144590267556159,1.6113004867359424,-0.7336450233657751,0.7038006132458906,0.168,0.053957464,-0.018,-0.411,0.4,42.8,56.3,0.45,0.27,0.61,0.29,8946.0,61.9,0.18,44135,0.313406,0.396795,0.05,29,93,64,68,0.45,32,-0.07,31739,4.501593239327352,0.321336,20144,0.375317,29114,0.26,0.27,,
"Malta",59,0.13128198393666232,-0.08114094054759913,-0.3549624584012335,,,,-1.8523007717478668,,0.05815582033314508,1.132265206895527,1.1456149211019413,0.306714664138287,0.175,0.031757443,,,,28.1,34.2,,,,,,,0.13,55866,0.374252,0.417625,0.06,66,96,47,56,0.37,29,0.01,45116,4.654330587984711,0.3276045,30017,0.3848755,41200,0.14,0.14,,
"Czech Republic",58,0.0777967312217258,-0.4954804987505609,-0.5360428081570752,0.47312787859827077,-0.5060609145028999,-1.0177118679632484,-0.3610222627101949,-1.2742992799173156,-0.20205064103220874,0.17419464721469644,-0.7336450233657751,2.2127272198547847,0.096,0.00134452,0.661,-0.147,0.08,59.6,58.4,0.13,0.09,0.11,0.07,12146.0,57.9,0.37,49195,0.315857,0.342388,0.03,29,74,57,57,0.21,25,-0.04,39941,4.601418934071117,0.3081086667,30708,0.337607,37164,0.21,0.21,,
"Austria",55,-0.0826590269230838,1.7387747639976985,1.8737814807224948,-0.8141327559555328,0.8168940934562696,-0.5593322598725626,0.4059209705091791,0.42323481692766635,0.5660486640532298,-0.6042376825259784,0.9932424931721264,-0.4080400442553997,0.521994,0.406080874,-0.139,0.301,0.14,75.8,68.3,0.13,0.08,0.3,0.12,27844.0,71.2,0.04,67875,0.124481,0.268328,0.08,63,70,79,11,0.08,31,0.02,55217,4.742072807250028,0.148148,50034,0.2254805,54075,0.13,0.18,,
"Slovakia",52,-0.2431147850678934,-0.7734551390639403,-0.8913502126435116,0.5181820008076538,0.3325980637569308,0.586616760354151,-0.3894275676442458,-1.1083748945114147,-0.635878920966561,1.132265206895527,-0.7844358326757134,-1.0433775628275657,0.043,-0.058330297,0.689,0.137,0.29,59.0,76.4,0.37,0.31,0.31,0.23,8819.0,59.2,-0.04,37457,0.346349,0.350046,0.01,28,51,100,100,0.37,26,-0.04,31313,4.49572467799798,0.3262625,21452,0.3403895,29365,0.46,0.46,,
"Spain",51,-0.29660003778282995,-1.8288671554839657,-2.568856604255412,-0.19302949978332262,1.1358207471607122,-0.024556050433429667,0.7893925871188665,1.0869323585512685,-0.18520635802594912,-0.96351414240629,0.028217116283299124,-0.5668744238984411,-0.15823,-0.340071926,0.247,0.409,0.21,83.9,96.4,0.25,0.23,0.23,0.22,16814.0,76.4,0.02,46332,0.268431,0.242001,-0.05,44,86,52,57,0.02,35,0.03,40276,4.605046332184747,0.2963173333,37504,0.249431,38130,0.2,0.13,,
"Russia",39,-0.9384230703620684,-1.0409401703088903,-0.9281591187616155,,,-0.3301424558272199,-0.47464348244639837,,-0.8700395954744745,0.59335051707506,,,-0.008,-0.06451245,,,0.17,57.2,70.4,0.25,0.17,0.17,0.15,,,,36307,0.299569,0.286169,0.0,,,,,0.28,39,-0.04,26656,4.425794979726693,0.291902,20631,0.289519,26357,0.26,0.24,,
